date,open,high,low,close,volume
2014-01-03,34.3634,34.3886,32.751,33.2297,41430487
2014-01-06,33.5068,34.0821,33.2885,33.9267,25066845
2014-01-07,34.1786,34.3802,33.6748,33.7587,14157364
2014-01-08,33.8679,34.292,33.7587,33.9435,11344528
2014-01-09,34.3298,34.3802,33.8259,34.0023,9792633
2014-01-10,34.0947,34.1618,33.4564,33.616,14605635
2014-01-13,33.7252,34.1282,33.1205,33.2381,20995498
2014-01-14,33.3976,33.7252,33.2297,33.6076,17565955
2014-01-15,33.2801,33.3976,32.7174,33.0701,89213832
2014-01-16,33.0072,33.2129,32.5495,32.751,36095485
2014-01-17,32.8098,32.835,32.1884,32.4151,28012924
2014-01-21,32.6586,32.751,31.8273,32.1968,30790088
2014-01-22,32.2472,32.5999,32.012,32.5831,16904726
2014-01-23,32.1968,32.3311,31.8357,32.264,20559316
2014-01-24,31.97,32.0036,30.8196,30.9287,39671978
2014-01-27,30.9035,31.3066,30.2821,30.8699,33922905
2014-01-28,31.2059,31.2394,30.8364,30.9119,15932874
2014-01-29,30.2821,31.0344,30.2401,30.5256,17526021
2014-01-30,30.9707,31.1303,30.6348,30.9371,15484212
2014-01-31,30.4165,30.9371,30.1309,30.2989,27212019
2014-02-03,30.4585,30.492,29.3164,29.6019,38983893
2014-02-04,29.7866,30.2107,29.6019,30.0806,20950002
2014-02-05,30.0974,30.0974,29.3584,29.5935,29456137
2014-02-06,28.9133,30.0806,28.8545,29.5851,53696324
2014-02-07,30.2065,30.6222,29.7446,30.3241,31334321
2014-02-10,30.1561,30.1645,29.0728,29.308,43300443
2014-02-11,29.5767,30.0092,29.5515,29.6019,23789033
2014-02-12,29.8034,29.9378,29.5011,29.8622,23314571
2014-02-13,29.5347,29.5767,29.1904,29.5599,30512706
2014-02-14,29.7027,30.2989,29.6019,30.1897,22850052
2014-02-18,30.5928,30.6432,30.2317,30.492,24557168
2014-02-19,30.4165,30.8321,30.2317,30.2569,23070864
2014-02-20,30.3913,30.7356,30.2317,30.66,18651132
2014-02-21,30.8028,30.8615,30.3493,30.8112,51726927
2014-02-24,30.8196,30.9161,30.6012,30.6936,22112794
2014-02-25,30.7944,30.9035,30.2275,30.3157,22524431
2014-02-26,30.1897,31.1807,30.1813,30.9287,26664315
2014-02-27,30.702,30.9455,30.2065,30.8783,28752156
2014-02-28,30.8448,30.8699,30.1393,30.3997,44350702
2014-03-03,29.9798,30.7272,29.9798,30.4081,24013349
2014-03-04,30.6768,31.0631,30.5928,31.0127,17934335
2014-03-05,31.525,31.9532,31.352,31.5082,28500737
2014-03-06,31.8021,31.9532,31.525,31.525,19116622
2014-03-07,31.8609,31.9197,31.4494,31.6509,17560314
2014-03-10,31.5418,31.5418,30.8699,31.1471,17557528
2014-03-11,31.0715,31.1723,29.4087,29.5431,41090952
2014-03-12,29.1904,29.6019,28.8629,29.2744,46333475
2014-03-13,29.4255,29.5263,28.443,28.6278,39628553
2014-03-14,28.6786,29.2801,28.4439,28.8819,31908641
2014-03-17,28.9243,29.3903,28.56,29.3394,29702056
2014-03-18,29.3818,29.8562,29.2293,29.7969,21329665
2014-03-19,29.8901,29.9287,29.314,29.5766,14690931
2014-03-20,29.475,29.8816,29.1446,29.8732,14456078
2014-03-21,29.9833,30.0765,29.4623,29.6614,24016569
2014-03-24,29.3903,29.7969,29.0429,29.7715,21461500
2014-03-25,29.763,29.8054,28.9666,29.2378,24817566
2014-03-26,29.3818,29.4326,28.9751,28.9921,16999795
2014-03-27,29.0429,29.6444,28.8989,29.2378,16382930
2014-03-28,29.3479,29.6698,29.2801,29.4241,19175444
2014-03-31,29.2547,29.475,28.7633,29.1615,24292580
2014-04-01,29.2293,29.7715,29.0768,29.0937,46569829
2014-04-02,29.3564,29.6953,29.1276,29.5512,41862468
2014-04-03,29.6021,30.0765,29.4241,30.0257,20578652
2014-04-04,30.1443,30.246,29.3564,29.4919,20368865
2014-04-07,29.3733,29.4241,28.6532,28.8989,24348132
2014-04-08,28.9327,29.314,28.6786,29.2547,20615564
2014-04-09,28.7209,29.009,28.4668,28.4837,33165365
2014-04-10,28.56,28.8565,28.2126,28.2126,34304923
2014-04-11,27.9584,28.0347,26.857,27.0519,45765198
2014-04-14,27.3569,27.8568,27.2383,27.5772,18759667
2014-04-15,27.7975,28.3312,27.3569,28.2634,23450944
2014-04-16,28.543,28.7972,28.2296,28.7803,18140840
2014-04-17,28.6616,28.8819,28.6362,28.7887,12351182
2014-04-21,28.7633,28.9836,28.5939,28.7887,9909362
2014-04-22,28.8311,29.1784,28.8057,29.0005,12291646
2014-04-23,29.0514,29.3225,28.8921,29.1361,16065667
2014-04-24,30.0765,30.246,28.399,28.9497,33352352
2014-04-25,28.4244,28.8734,28.4244,28.5684,16032786
2014-04-28,28.7464,28.7548,28.3948,28.6023,20175895
2014-04-29,28.5515,28.8904,28.4871,28.7972,12088525
2014-04-30,28.6701,29.2632,28.6701,29.2123,14037765
2014-05-01,29.3733,29.9918,29.2632,29.5682,19572572
2014-05-02,29.6783,29.9325,29.5343,29.6275,11397359
2014-05-05,29.5173,29.5597,29.3394,29.4411,8449087
2014-05-06,29.7122,29.7715,29.4411,29.4411,10114725
2014-05-07,29.619,29.7461,29.3225,29.7122,9271172
2014-05-08,29.6359,30.0172,29.4241,29.5258,10252162
2014-05-09,29.4834,29.5682,28.9327,29.0005,16803486
2014-05-12,29.1276,29.6021,29.1276,29.5004,9499126
2014-05-13,29.5173,29.8139,29.3146,29.78,9048317
2014-05-14,29.7376,29.7461,29.4834,29.6021,10505305
2014-05-15,29.3225,29.4411,28.6616,29.1107,18088577
2014-05-16,28.5939,29.3564,28.3736,28.8057,21487112
2014-05-19,29.1442,29.1789,28.353,28.4138,16027471
2014-05-20,28.9412,29.0598,27.9246,28.0177,24894237
2014-05-21,28.0855,28.4837,28.0432,28.3482,12392960
2014-05-22,28.2889,28.5515,28.2211,28.3143,8428152
2014-05-23,28.3736,28.5388,28.3058,28.4922,8268324
2014-05-27,28.7379,28.7887,28.6108,28.7548,8995120
2014-05-28,28.8819,29.3309,28.7718,29.3055,12575767
2014-05-29,29.314,29.3564,29.0175,29.1869,10881537
2014-05-30,29.0598,29.3479,28.9751,29.2971,14171639
2014-06-02,29.2632,29.5682,29.0514,29.5343,11556876
2014-06-03,29.7546,30.2375,29.4411,29.8732,17795876
2014-06-04,30.0765,31.2457,29.9494,30.9407,33252199
2014-06-05,31.3135,31.3812,30.6357,30.7289,25094529
2014-06-06,30.8143,31.3952,30.5409,31.2243,17642794
2014-06-09,31.156,31.4635,31.0449,31.1816,10279710
2014-06-10,30.9937,31.3525,30.9083,31.0962,8460743
2014-06-11,30.951,31.0022,30.6861,30.857,8868088
2014-06-12,30.7545,30.992,30.3188,30.3444,16818453
2014-06-13,30.2248,30.5665,30.2248,30.4384,12047101
2014-06-16,30.3188,30.9083,30.3188,30.8057,12603728
2014-06-17,30.6434,31.0791,30.4299,31.062,13211606
2014-06-18,31.062,31.156,30.6947,31.0108,16352008
2014-06-19,31.0535,31.3012,30.9253,31.0706,11277822
2014-06-20,31.2243,31.25,30.8399,30.9424,14018678
2014-06-23,30.9339,31.4379,30.9168,31.3269,11590338
2014-06-24,31.2841,31.6686,31.156,31.25,15032861
2014-06-25,31.1475,31.7626,31.1389,31.6857,12201264
2014-06-26,31.5148,31.5831,31.1047,31.5234,11471585
2014-06-27,31.3781,31.6344,31.2841,31.2841,25428859
2014-06-30,31.2585,31.5234,30.7374,31.0108,20880231
2014-07-01,30.9681,32.1555,30.9681,32.1128,23414138
2014-07-02,32.0359,32.5912,31.9249,32.241,17672217
2014-07-03,32.4289,32.557,32.2239,32.241,6743734
2014-07-07,32.3862,32.3862,31.754,31.9847,11129925
2014-07-08,31.959,32.2666,31.7796,32.1043,11786950
2014-07-09,32.1726,32.5741,32.147,32.4374,11676257
2014-07-10,32.0188,32.3776,31.9078,32.2495,9898910
2014-07-11,32.2239,32.4716,32.1128,32.4204,6203437
2014-07-14,32.5485,32.5741,32.0872,32.2068,9315528
2014-07-15,32.1299,32.4204,31.9804,32.1043,8619649
2014-07-16,32.2666,32.3862,32.0018,32.0188,10954203
2014-07-17,31.8736,32.1812,31.6173,31.6942,11014655
2014-07-18,31.8992,31.9676,31.66,31.959,8741972
2014-07-21,31.9334,32.0616,31.6515,31.9761,6633186
2014-07-22,32.0872,32.3776,32.0616,32.258,9655788
2014-07-23,32.2837,32.3947,31.959,31.959,13865052
2014-07-24,31.3269,31.4806,30.1693,30.5324,35694105
2014-07-25,29.9856,30.1479,29.52,29.96,28537314
2014-07-28,29.9258,29.9771,29.7123,29.8148,15053589
2014-07-29,29.9087,30.0711,29.4133,29.4303,16560140
2014-07-30,29.473,29.6097,29.0544,29.3107,18941748
2014-07-31,29.1741,29.2509,28.858,28.8921,13410713
2014-08-01,28.8665,29.0459,28.4479,28.5675,15343820
2014-08-04,28.8409,29.0638,28.6188,28.7127,11486331
2014-08-05,28.6786,28.8793,28.3198,28.4992,11012536
2014-08-06,28.3881,28.764,28.3881,28.5333,8715359
2014-08-07,28.67,28.7298,28.0208,28.2856,13526688
2014-08-08,28.2685,28.67,28.2685,28.6444,9935602
2014-08-11,28.7384,28.9178,28.5419,28.875,10873706
2014-08-12,28.8323,29.1655,28.6623,28.7896,10304995
2014-08-13,28.9861,29.1057,28.858,29.0032,7121846
2014-08-14,28.8836,29.0075,28.3753,29.0032,9956803
2014-08-15,29.0886,29.1826,28.6273,28.9092,14153502
2014-08-18,29.1228,29.4218,29.0801,29.3876,10327204
2014-08-19,29.6354,29.6866,29.3278,29.5329,10422924
2014-08-20,29.4645,29.661,29.3022,29.4987,9112524
2014-08-21,29.5756,29.6695,29.4389,29.5585,6591929
2014-08-22,29.4816,29.4901,29.1783,29.2509,8665715
2014-08-25,29.4133,29.6781,29.3107,29.6183,9546350
2014-08-26,29.6952,29.9002,29.5841,29.7721,7535007
2014-08-27,29.8319,29.8404,29.5414,29.6525,7118030
2014-08-28,29.4645,29.6866,29.2338,29.6268,5971613
2014-08-29,29.6781,29.7721,29.567,29.7293,5558114
2014-09-02,29.7977,30.0198,29.5756,29.7293,7825129
2014-09-03,29.9515,30.0027,29.4389,29.4474,11626398
2014-09-04,29.4645,29.8319,29.4218,29.5841,9566331
2014-09-05,29.5499,29.567,29.2424,29.5414,13671830
2014-09-08,29.326,29.4294,28.5676,28.6452,22120618
2014-09-09,28.6107,28.6969,28.447,28.4987,11861015
2014-09-10,28.5418,28.7313,28.4891,28.6883,10470992
2014-09-11,28.5762,29.0373,28.5676,28.964,10189065
2014-09-12,28.852,28.9554,28.5288,28.671,11077878
2014-09-15,28.5762,29.1278,28.5676,28.9813,12509935
2014-09-16,28.8606,29.257,28.8261,29.0502,11082986
2014-09-17,29.0588,29.4208,29.0157,29.1708,10300998
2014-09-18,29.2398,29.4897,29.2398,29.326,8930996
2014-09-19,29.4983,29.5069,29.1019,29.2484,14521399
2014-09-22,29.0761,29.1622,28.5116,28.8175,11179986
2014-09-23,28.6452,28.9382,28.559,28.6279,8731869
2014-09-24,28.7227,29.0243,28.4556,28.9985,10665413
2014-09-25,28.9296,28.9985,28.2918,28.3263,12309199
2014-09-26,28.4728,28.7012,28.3823,28.5848,9417602
2014-09-29,28.4125,28.5762,27.5593,27.7662,19710870
2014-09-30,27.7834,28.0419,27.2922,27.5249,24790809
2014-10-01,27.5507,28.4642,27.3267,27.9988,31138729
2014-10-02,28.0333,28.7831,27.9988,28.5935,20794624
2014-10-03,28.8089,29.2139,28.6538,29.0933,16981348
2014-10-06,29.1622,29.5069,28.7572,29.0847,9095761
2014-10-07,28.4728,28.4728,27.275,27.3784,25661347
2014-10-08,27.4387,27.7662,26.5338,27.7317,28308540
2014-10-09,27.6541,27.6886,26.5511,26.7407,23098842
2014-10-10,26.0943,26.6631,25.9306,26.103,20495982
2014-10-13,26.103,26.3873,25.6161,25.6721,17725053
2014-10-14,25.7669,26.1805,25.7238,25.9478,14495984
2014-10-15,25.5687,26.0771,24.8362,25.5859,29623288
2014-10-16,25.1033,25.9823,25.0688,25.8013,18226156
2014-10-17,26.1805,26.689,25.9952,26.0599,18339875
2014-10-20,26.0426,26.3012,25.8703,26.146,11700578
2014-10-21,26.2839,26.7751,26.1288,26.5769,12576775
2014-10-22,26.3787,27.15,26.3442,26.982,17845781
2014-10-23,27.5335,27.568,26.5511,26.6545,25443605
2014-10-24,26.7493,26.9561,25.8358,25.8875,30313847
2014-10-27,25.9823,26.2753,25.6979,25.922,12790154
2014-10-28,26.1891,26.9044,25.9694,26.8613,26071317
2014-10-29,26.8872,26.9992,26.1547,26.4735,11638334
2014-10-30,26.9733,27.1845,26.8096,27.0767,7455858
2014-10-31,26.8441,27.2491,26.6717,27.0595,15538961
2014-11-03,27.0164,27.1112,26.5338,26.8699,9859119
2014-11-04,26.7493,26.982,26.439,26.5597,12058309
2014-11-05,26.8441,26.8699,26.3356,26.4821,11109560
2014-11-06,26.4563,27.1112,26.4132,27.0337,12729496
2014-11-07,26.982,27.3525,26.9216,27.2233,10070917
2014-11-10,26.9992,27.1457,26.5597,26.8182,10297832
2014-11-11,26.7493,27.0595,26.7148,27.0164,7537758
2014-11-12,26.9733,27.1845,26.8096,27.0767,7456062
2014-11-13,27.1543,27.4904,27.1155,27.275,8353857
2014-11-14,27.275,27.5852,27.1285,27.3956,8498746
2014-11-17,27.5766,27.9988,27.4904,27.8437,11900544
2014-11-18,27.9299,27.9988,27.4645,27.8093,9766095
2014-11-19,27.7575,27.8437,27.5249,27.7058,8290065
2014-11-20,27.5421,27.7988,27.4042,27.6886,8052949
2014-11-21,28.0419,28.0505,27.5464,27.6886,8567175
2014-11-24,27.792,27.8782,27.3784,27.7403,13313540
2014-11-25,27.792,27.9041,27.5507,27.7748,9269267
2014-11-26,27.8093,27.8351,27.5292,27.6369,7414462
2014-11-28,27.9213,28.9037,27.7748,28.8089,14039802
2014-12-01,28.7055,28.8434,28.3177,28.3866,14391915
2014-12-02,28.4814,28.9726,28.4297,28.6624,14824785
2014-12-03,28.7572,29.1105,28.74,28.9899,11648462
2014-12-04,29.0071,29.0157,28.4699,28.5159,11686711
2014-12-05,28.6366,29.3777,28.5848,29.2398,17730772
2014-12-08,29.1442,29.1789,28.353,28.4138,16125780
2014-12-09,28.066,28.579,27.9704,28.5268,11147140
2014-12-10,28.4486,28.5616,27.7096,27.7965,11583515
2014-12-11,27.9443,28.4225,27.8139,27.9878,13282592
2014-12-12,27.7704,27.9573,27.4487,27.4487,11239143
2014-12-15,27.5617,27.6226,26.9357,26.9531,16084045
2014-12-16,26.6227,27.0009,26.3445,26.7184,24294005
2014-12-17,26.7879,27.2096,26.6401,27.0835,13281787
2014-12-18,27.5096,27.6052,27.1009,27.6052,14112031
2014-12-19,27.6139,28.6312,27.6052,28.5268,18990938
2014-12-22,28.3703,28.9616,28.3616,28.892,13243664
2014-12-23,29.1094,29.3007,29.0224,29.1789,8469548
2014-12-24,29.1529,29.205,28.9007,29.0659,4496025
2014-12-26,29.1702,29.4311,29.0833,29.3267,6673242
2014-12-29,29.4485,30.2831,29.3789,30.0832,16654311
2014-12-30,30.0484,30.6048,29.918,30.5092,14966877
2014-12-31,30.6396,30.8222,30.3353,30.3527,12279685
2015-01-02,30.6657,30.7005,29.918,30.2918,9756706
2015-01-05,30.4136,30.6483,29.6224,29.8484,16223019
2015-01-06,29.918,30.6222,29.6441,30.3005,17747573
2015-01-07,30.6309,31.2569,30.4657,31.1613,19319169
2015-01-08,31.3526,31.6917,31.1265,31.4743,15206551
2015-01-09,31.483,31.6221,30.7874,30.9439,14690589
2015-01-12,31.1352,31.2482,30.8396,31.1613,10656713
2015-01-13,31.37,31.6482,30.1527,30.6483,21893453
2015-01-14,29.8745,30.0571,29.205,29.8223,27901338
2015-01-15,30.2397,30.3179,29.0224,29.0659,19437427
2015-01-16,28.9616,29.3789,28.9268,29.2833,17780004
2015-01-20,29.4745,29.5702,28.9964,29.5006,12052466
2015-01-21,29.405,29.6658,29.1442,29.4659,14349944
2015-01-22,29.6919,29.718,28.9616,29.405,14261091
2015-01-23,29.4745,29.718,29.3094,29.3441,13990222
2015-01-26,29.3094,29.5963,29.2137,29.3007,10824806
2015-01-27,29.0398,29.292,28.8225,29.0572,14793333
2015-01-28,29.1355,29.1877,28.4747,28.5529,16936184
2015-01-29,28.6138,28.9877,28.1356,28.8312,15819211
2015-01-30,28.5877,28.8225,28.3616,28.3616,19166536
